,Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Hours,Drop Hours,Request Time Slot
0,619,Airport,1.0,Trip Completed,2016-11-07 11:51:00,2016-11-07 13:00:00,11,13.0,Peak morning hours
1,867,Airport,1.0,Trip Completed,2016-11-07 17:57:00,2016-11-07 18:47:00,17,18.0,Evening hours
2,1807,City,1.0,Trip Completed,2016-12-07 09:17:00,2016-12-07 09:58:00,9,9.0,Peak morning hours
3,2532,Airport,1.0,Trip Completed,2016-12-07 21:08:00,2016-12-07 22:03:00,21,22.0,Night hours
4,3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,9.0,Peak morning hours
5,3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,22.0,Night hours
6,4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,7.0,Early morning hours
7,5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,6.0,Early morning hours
8,6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,18.0,Evening hours
9,267,City,2.0,Trip Completed,2016-11-07 06:46:00,2016-11-07 07:25:00,6,7.0,Early morning hours
10,1467,Airport,2.0,Trip Completed,2016-12-07 05:08:00,2016-12-07 06:02:00,5,6.0,Early morning hours
11,1983,City,2.0,Trip Completed,2016-12-07 12:30:00,2016-12-07 12:57:00,12,12.0,Noon hours
12,2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,5.0,Early morning hours
13,3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,9.0,Peak morning hours
14,3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,15.0,Noon hours
15,3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,18.0,Evening hours
16,4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,12.0,Noon hours
17,5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,23.0,Night hours
18,535,Airport,3.0,Trip Completed,2016-11-07 10:00:00,2016-11-07 10:31:00,10,10.0,Peak morning hours
19,960,Airport,3.0,Trip Completed,2016-11-07 18:45:00,2016-11-07 19:23:00,18,19.0,Evening hours
20,1934,Airport,3.0,Trip Completed,2016-12-07 11:17:00,2016-12-07 12:23:00,11,12.0,Peak morning hours
21,2083,Airport,3.0,Trip Completed,2016-12-07 15:46:00,2016-12-07 16:40:00,15,16.0,Noon hours
22,2211,Airport,3.0,Trip Completed,2016-12-07 18:00:00,2016-12-07 18:28:00,18,18.0,Evening hours
23,3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,9.0,Peak morning hours
24,3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,22.0,Night hours
25,5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,22.0,Night hours
26,5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,3.0,Early morning hours
27,5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,10.0,Peak morning hours
28,669,City,4.0,Trip Completed,2016-11-07 13:08:00,2016-11-07 13:49:00,13,13.0,Noon hours
29,1567,Airport,4.0,Trip Completed,2016-12-07 06:21:00,2016-12-07 07:10:00,6,7.0,Early morning hours
30,1826,City,4.0,Trip Completed,2016-12-07 09:27:00,2016-12-07 10:27:00,9,10.0,Peak morning hours
31,2102,City,4.0,Trip Completed,2016-12-07 16:09:00,2016-12-07 17:01:00,16,17.0,Noon hours
32,2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,6.0,Early morning hours
33,3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,20.0,Evening hours
34,4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,3.0,Early morning hours
35,4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,13.0,Noon hours
36,5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,8,9.0,Peak morning hours
37,6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,15.0,Noon hours
38,312,City,5.0,Trip Completed,2016-11-07 07:27:00,2016-11-07 08:31:00,7,8.0,Early morning hours
39,577,Airport,5.0,Trip Completed,2016-11-07 11:03:00,2016-11-07 12:01:00,11,12.0,Peak morning hours
40,1179,City,5.0,Trip Completed,2016-11-07 20:58:00,2016-11-07 21:45:00,20,21.0,Evening hours
41,1756,Airport,5.0,Trip Completed,2016-12-07 08:40:00,2016-12-07 09:23:00,8,9.0,Peak morning hours
42,2052,City,5.0,Trip Completed,2016-12-07 14:48:00,2016-12-07 15:50:00,14,15.0,Noon hours
43,2559,City,5.0,Trip Completed,2016-12-07 21:32:00,2016-12-07 22:29:00,21,22.0,Night hours
44,3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,7,8.0,Early morning hours
45,3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12,12.0,Noon hours
46,4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,6,7.0,Early morning hours
47,5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,9,10.0,Peak morning hours
48,6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22,23.0,Night hours
49,1517,Airport,6.0,Trip Completed,2016-12-07 05:45:00,2016-12-07 06:28:00,5,6.0,Early morning hours
